"year" "sex" "age" "deaths"
2009 "f" 0 17499
2009 "f" 1 1525
2009 "f" 2 829
2009 "f" 3 569
2009 "f" 4 470
2009 "f" 5 420
2009 "f" 6 378
2009 "f" 7 368
2009 "f" 8 333
2009 "f" 9 363
2009 "f" 10 375
2009 "f" 11 406
2009 "f" 12 401
2009 "f" 13 506
2009 "f" 14 563
2009 "f" 15 666
2009 "f" 16 759
2009 "f" 17 779
2009 "f" 18 831
2009 "f" 19 912
2009 "f" 20 961
2009 "f" 21 999
2009 "f" 22 1036
2009 "f" 23 1114
2009 "f" 24 1081
2009 "f" 25 1134
2009 "f" 26 1252
2009 "f" 27 1307
2009 "f" 28 1279
2009 "f" 29 1401
2009 "f" 30 1455
2009 "f" 31 1370
2009 "f" 32 1518
2009 "f" 33 1558
2009 "f" 34 1661
2009 "f" 35 1762
2009 "f" 36 1769
2009 "f" 37 1966
2009 "f" 38 2036
2009 "f" 39 2210
2009 "f" 40 2369
2009 "f" 41 2547
2009 "f" 42 2687
2009 "f" 43 2996
2009 "f" 44 3090
2009 "f" 45 3368
2009 "f" 46 3456
2009 "f" 47 3644
2009 "f" 48 3908
2009 "f" 49 3984
2009 "f" 50 4225
2009 "f" 51 4632
2009 "f" 52 4743
2009 "f" 53 4843
2009 "f" 54 5078
2009 "f" 55 5191
2009 "f" 56 5283
2009 "f" 57 5444
2009 "f" 58 5562
2009 "f" 59 6049
2009 "f" 60 6149
2009 "f" 61 6363
2009 "f" 62 6366
2009 "f" 63 6284
2009 "f" 64 6805
2009 "f" 65 7285
2009 "f" 66 7289
2009 "f" 67 7365
2009 "f" 68 7677
2009 "f" 69 8917
2009 "f" 70 8908
2009 "f" 71 9146
2009 "f" 72 9377
2009 "f" 73 10315
2009 "f" 74 10107
2009 "f" 75 9954
2009 "f" 76 10548
2009 "f" 77 10936
2009 "f" 78 11392
2009 "f" 79 12084
2009 "f" 80 11830
2009 "f" 81 12061
2009 "f" 82 11961
2009 "f" 83 11749
2009 "f" 84 11516
2009 "f" 85 10721
2009 "f" 86 10623
2009 "f" 87 9596
2009 "f" 88 9004
2009 "f" 89 8567
2009 "f" 90 7620
2009 "f" 91 7225
2009 "f" 92 6135
2009 "f" 93 5534
2009 "f" 94 4879
2009 "f" 95 3862
2009 "f" 96 3170
2009 "f" 97 2478
2009 "f" 98 2009
2009 "f" 99 1457
2009 "f" 100 937
2009 "f" 101 730
2009 "f" 102 596
2009 "f" 103 560
2009 "f" 104 346
2009 "f" 105 170
2009 "f" 106 106
2009 "f" 107 73
2009 "f" 108 41
2009 "f" 109 10
2009 "f" 110 9
2009 "f" 111 6
2009 "f" 112 3
2009 "f" 113 1
2009 "f" 114 2
2009 "f" 115 3
2009 "f" 116 2
2009 "m" 0 22630
2009 "m" 1 1702
2009 "m" 2 980
2009 "m" 3 728
2009 "m" 4 587
2009 "m" 5 535
2009 "m" 6 492
2009 "m" 7 522
2009 "m" 8 525
2009 "m" 9 502
2009 "m" 10 521
2009 "m" 11 533
2009 "m" 12 607
2009 "m" 13 771
2009 "m" 14 1075
2009 "m" 15 1676
2009 "m" 16 2348
2009 "m" 17 3100
2009 "m" 18 3570
2009 "m" 19 4044
2009 "m" 20 4652
2009 "m" 21 4768
2009 "m" 22 4618
2009 "m" 23 4563
2009 "m" 24 4450
2009 "m" 25 4453
2009 "m" 26 4609
