"municode" "muniname" "year" "sex" "age" "deaths"
520025 "Águas Lindas de Goiás" 2009 "f" 0 20
520025 "Águas Lindas de Goiás" 2009 "f" 1 3
520025 "Águas Lindas de Goiás" 2009 "f" 4 1
520025 "Águas Lindas de Goiás" 2009 "f" 9 1
520025 "Águas Lindas de Goiás" 2009 "f" 10 1
520025 "Águas Lindas de Goiás" 2009 "f" 17 2
520025 "Águas Lindas de Goiás" 2009 "f" 20 3
520025 "Águas Lindas de Goiás" 2009 "f" 21 2
520025 "Águas Lindas de Goiás" 2009 "f" 23 1
520025 "Águas Lindas de Goiás" 2009 "f" 24 1
520025 "Águas Lindas de Goiás" 2009 "f" 25 2
520025 "Águas Lindas de Goiás" 2009 "f" 26 1
520025 "Águas Lindas de Goiás" 2009 "f" 28 2
520025 "Águas Lindas de Goiás" 2009 "f" 29 2
520025 "Águas Lindas de Goiás" 2009 "f" 30 3
520025 "Águas Lindas de Goiás" 2009 "f" 31 1
520025 "Águas Lindas de Goiás" 2009 "f" 32 2
520025 "Águas Lindas de Goiás" 2009 "f" 33 2
520025 "Águas Lindas de Goiás" 2009 "f" 35 1
520025 "Águas Lindas de Goiás" 2009 "f" 36 1
520025 "Águas Lindas de Goiás" 2009 "f" 37 2
520025 "Águas Lindas de Goiás" 2009 "f" 39 1
520025 "Águas Lindas de Goiás" 2009 "f" 40 4
520025 "Águas Lindas de Goiás" 2009 "f" 41 2
520025 "Águas Lindas de Goiás" 2009 "f" 42 3
520025 "Águas Lindas de Goiás" 2009 "f" 43 1
520025 "Águas Lindas de Goiás" 2009 "f" 44 3
520025 "Águas Lindas de Goiás" 2009 "f" 45 3
520025 "Águas Lindas de Goiás" 2009 "f" 46 2
520025 "Águas Lindas de Goiás" 2009 "f" 47 3
520025 "Águas Lindas de Goiás" 2009 "f" 48 2
520025 "Águas Lindas de Goiás" 2009 "f" 49 2
520025 "Águas Lindas de Goiás" 2009 "f" 50 3
520025 "Águas Lindas de Goiás" 2009 "f" 51 3
520025 "Águas Lindas de Goiás" 2009 "f" 52 1
520025 "Águas Lindas de Goiás" 2009 "f" 54 2
520025 "Águas Lindas de Goiás" 2009 "f" 55 3
520025 "Águas Lindas de Goiás" 2009 "f" 56 2
520025 "Águas Lindas de Goiás" 2009 "f" 57 2
520025 "Águas Lindas de Goiás" 2009 "f" 58 2
520025 "Águas Lindas de Goiás" 2009 "f" 59 1
520025 "Águas Lindas de Goiás" 2009 "f" 60 2
520025 "Águas Lindas de Goiás" 2009 "f" 62 4
520025 "Águas Lindas de Goiás" 2009 "f" 63 2
520025 "Águas Lindas de Goiás" 2009 "f" 64 3
520025 "Águas Lindas de Goiás" 2009 "f" 65 6
520025 "Águas Lindas de Goiás" 2009 "f" 66 4
520025 "Águas Lindas de Goiás" 2009 "f" 67 2
520025 "Águas Lindas de Goiás" 2009 "f" 68 2
520025 "Águas Lindas de Goiás" 2009 "f" 70 4
520025 "Águas Lindas de Goiás" 2009 "f" 71 2
520025 "Águas Lindas de Goiás" 2009 "f" 72 3
520025 "Águas Lindas de Goiás" 2009 "f" 73 2
520025 "Águas Lindas de Goiás" 2009 "f" 75 2
520025 "Águas Lindas de Goiás" 2009 "f" 76 2
520025 "Águas Lindas de Goiás" 2009 "f" 77 2
520025 "Águas Lindas de Goiás" 2009 "f" 78 4
520025 "Águas Lindas de Goiás" 2009 "f" 79 4
520025 "Águas Lindas de Goiás" 2009 "f" 80 3
520025 "Águas Lindas de Goiás" 2009 "f" 81 2
520025 "Águas Lindas de Goiás" 2009 "f" 82 2
520025 "Águas Lindas de Goiás" 2009 "f" 83 3
520025 "Águas Lindas de Goiás" 2009 "f" 84 1
520025 "Águas Lindas de Goiás" 2009 "f" 85 4
520025 "Águas Lindas de Goiás" 2009 "f" 89 2
520025 "Águas Lindas de Goiás" 2009 "f" 90 2
520025 "Águas Lindas de Goiás" 2009 "f" 96 1
520025 "Águas Lindas de Goiás" 2009 "f" 97 1
520025 "Águas Lindas de Goiás" 2009 "m" 0 21
520025 "Águas Lindas de Goiás" 2009 "m" 1 1
520025 "Águas Lindas de Goiás" 2009 "m" 9 1
520025 "Águas Lindas de Goiás" 2009 "m" 12 1
520025 "Águas Lindas de Goiás" 2009 "m" 14 1
520025 "Águas Lindas de Goiás" 2009 "m" 15 2
520025 "Águas Lindas de Goiás" 2009 "m" 16 6
520025 "Águas Lindas de Goiás" 2009 "m" 17 2
520025 "Águas Lindas de Goiás" 2009 "m" 18 4
520025 "Águas Lindas de Goiás" 2009 "m" 19 2
520025 "Águas Lindas de Goiás" 2009 "m" 20 6
520025 "Águas Lindas de Goiás" 2009 "m" 21 9
520025 "Águas Lindas de Goiás" 2009 "m" 22 5
520025 "Águas Lindas de Goiás" 2009 "m" 23 7
520025 "Águas Lindas de Goiás" 2009 "m" 24 2
520025 "Águas Lindas de Goiás" 2009 "m" 25 4
520025 "Águas Lindas de Goiás" 2009 "m" 26 3
520025 "Águas Lindas de Goiás" 2009 "m" 27 7
520025 "Águas Lindas de Goiás" 2009 "m" 28 3
520025 "Águas Lindas de Goiás" 2009 "m" 29 6
520025 "Águas Lindas de Goiás" 2009 "m" 30 3
520025 "Águas Lindas de Goiás" 2009 "m" 31 4
520025 "Águas Lindas de Goiás" 2009 "m" 32 6
520025 "Águas Lindas de Goiás" 2009 "m" 33 7
520025 "Águas Lindas de Goiás" 2009 "m" 34 3
520025 "Águas Lindas de Goiás" 2009 "m" 35 6
520025 "Águas Lindas de Goiás" 2009 "m" 36 5
520025 "Águas Lindas de Goiás" 2009 "m" 37 6
520025 "Águas Lindas de Goiás" 2009 "m" 38 6
520025 "Águas Lindas de Goiás" 2009 "m" 39 7
520025 "Águas Lindas de Goiás" 2009 "m" 40 5
520025 "Águas Lindas de Goiás" 2009 "m" 41 4
520025 "Águas Lindas de Goiás" 2009 "m" 42 8
520025 "Águas Lindas de Goiás" 2009 "m" 43 2
520025 "Águas Lindas de Goiás" 2009 "m" 44 4
520025 "Águas Lindas de Goiás" 2009 "m" 45 4
520025 "Águas Lindas de Goiás" 2009 "m" 46 7
520025 "Águas Lindas de Goiás" 2009 "m" 47 3
520025 "Águas Lindas de Goiás" 2009 "m" 48 2
520025 "Águas Lindas de Goiás" 2009 "m" 49 6
520025 "Águas Lindas de Goiás" 2009 "m" 50 2
520025 "Águas Lindas de Goiás" 2009 "m" 51 4
520025 "Águas Lindas de Goiás" 2009 "m" 52 4
520025 "Águas Lindas de Goiás" 2009 "m" 53 1
520025 "Águas Lindas de Goiás" 2009 "m" 54 3
520025 "Águas Lindas de Goiás" 2009 "m" 55 4
520025 "Águas Lindas de Goiás" 2009 "m" 56 6
520025 "Águas Lindas de Goiás" 2009 "m" 57 3
520025 "Águas Lindas de Goiás" 2009 "m" 58 5
520025 "Águas Lindas de Goiás" 2009 "m" 59 5
520025 "Águas Lindas de Goiás" 2009 "m" 60 3
520025 "Águas Lindas de Goiás" 2009 "m" 61 3
520025 "Águas Lindas de Goiás" 2009 "m" 62 2
520025 "Águas Lindas de Goiás" 2009 "m" 63 3
520025 "Águas Lindas de Goiás" 2009 "m" 64 5
520025 "Águas Lindas de Goiás" 2009 "m" 65 1
520025 "Águas Lindas de Goiás" 2009 "m" 66 4
520025 "Águas Lindas de Goiás" 2009 "m" 67 2
520025 "Águas Lindas de Goiás" 2009 "m" 68 6
520025 "Águas Lindas de Goiás" 2009 "m" 69 2
520025 "Águas Lindas de Goiás" 2009 "m" 70 1
520025 "Águas Lindas de Goiás" 2009 "m" 71 8
520025 "Águas Lindas de Goiás" 2009 "m" 72 3
520025 "Águas Lindas de Goiás" 2009 "m" 73 3
520025 "Águas Lindas de Goiás" 2009 "m" 74 2
520025 "Águas Lindas de Goiás" 2009 "m" 75 1
520025 "Águas Lindas de Goiás" 2009 "m" 76 5
520025 "Águas Lindas de Goiás" 2009 "m" 77 3
520025 "Águas Lindas de Goiás" 2009 "m" 78 2
520025 "Águas Lindas de Goiás" 2009 "m" 79 2
520025 "Águas Lindas de Goiás" 2009 "m" 80 2
520025 "Águas Lindas de Goiás" 2009 "m" 81 2
520025 "Águas Lindas de Goiás" 2009 "m" 82 5
520025 "Águas Lindas de Goiás" 2009 "m" 83 1
520025 "Águas Lindas de Goiás" 2009 "m" 84 2
520025 "Águas Lindas de Goiás" 2009 "m" 86 1
520025 "Águas Lindas de Goiás" 2009 "m" 87 1
520025 "Águas Lindas de Goiás" 2009 "m" 88 1
520025 "Águas Lindas de Goiás" 2009 "m" 89 1
520025 "Águas Lindas de Goiás" 2009 "m" 95 1
520025 "Águas Lindas de Goiás" 2009 "m" 98 1
520025 "Águas Lindas de Goiás" 2010 "f" 0 9
520025 "Águas Lindas de Goiás" 2010 "f" 1 3
520025 "Águas Lindas de Goiás" 2010 "f" 5 2
520025 "Águas Lindas de Goiás" 2010 "f" 13 1
520025 "Águas Lindas de Goiás" 2010 "f" 15 1
520025 "Águas Lindas de Goiás" 2010 "f" 16 2
520025 "Águas Lindas de Goiás" 2010 "f" 18 1
520025 "Águas Lindas de Goiás" 2010 "f" 20 1
520025 "Águas Lindas de Goiás" 2010 "f" 21 2
520025 "Águas Lindas de Goiás" 2010 "f" 22 1
520025 "Águas Lindas de Goiás" 2010 "f" 26 3
520025 "Águas Lindas de Goiás" 2010 "f" 27 1
520025 "Águas Lindas de Goiás" 2010 "f" 28 3
520025 "Águas Lindas de Goiás" 2010 "f" 29 1
520025 "Águas Lindas de Goiás" 2010 "f" 30 1
520025 "Águas Lindas de Goiás" 2010 "f" 31 1
520025 "Águas Lindas de Goiás" 2010 "f" 32 4
520025 "Águas Lindas de Goiás" 2010 "f" 33 1
520025 "Águas Lindas de Goiás" 2010 "f" 35 1
520025 "Águas Lindas de Goiás" 2010 "f" 36 1
520025 "Águas Lindas de Goiás" 2010 "f" 37 3
520025 "Águas Lindas de Goiás" 2010 "f" 38 1
520025 "Águas Lindas de Goiás" 2010 "f" 39 2
520025 "Águas Lindas de Goiás" 2010 "f" 40 2
520025 "Águas Lindas de Goiás" 2010 "f" 41 3
520025 "Águas Lindas de Goiás" 2010 "f" 42 2
520025 "Águas Lindas de Goiás" 2010 "f" 43 2
520025 "Águas Lindas de Goiás" 2010 "f" 44 1
520025 "Águas Lindas de Goiás" 2010 "f" 45 1
520025 "Águas Lindas de Goiás" 2010 "f" 46 3
520025 "Águas Lindas de Goiás" 2010 "f" 47 3
520025 "Águas Lindas de Goiás" 2010 "f" 48 6
520025 "Águas Lindas de Goiás" 2010 "f" 49 2
520025 "Águas Lindas de Goiás" 2010 "f" 50 6
520025 "Águas Lindas de Goiás" 2010 "f" 51 1
520025 "Águas Lindas de Goiás" 2010 "f" 52 2
520025 "Águas Lindas de Goiás" 2010 "f" 53 3
520025 "Águas Lindas de Goiás" 2010 "f" 55 1
520025 "Águas Lindas de Goiás" 2010 "f" 56 5
520025 "Águas Lindas de Goiás" 2010 "f" 57 2
520025 "Águas Lindas de Goiás" 2010 "f" 58 6
520025 "Águas Lindas de Goiás" 2010 "f" 59 3
520025 "Águas Lindas de Goiás" 2010 "f" 60 3
520025 "Águas Lindas de Goiás" 2010 "f" 62 1
520025 "Águas Lindas de Goiás" 2010 "f" 63 2
520025 "Águas Lindas de Goiás" 2010 "f" 64 3
520025 "Águas Lindas de Goiás" 2010 "f" 65 2
520025 "Águas Lindas de Goiás" 2010 "f" 66 3
520025 "Águas Lindas de Goiás" 2010 "f" 67 2
520025 "Águas Lindas de Goiás" 2010 "f" 68 1
520025 "Águas Lindas de Goiás" 2010 "f" 69 4
520025 "Águas Lindas de Goiás" 2010 "f" 70 1
520025 "Águas Lindas de Goiás" 2010 "f" 71 2
520025 "Águas Lindas de Goiás" 2010 "f" 72 6
