age,sex,pop
0,m,1378532
1,m,1369425
2,m,1387143
3,m,1419295
4,m,1462592
5,m,1493253
6,m,1472635
7,m,1506828
8,m,1528003
9,m,1623425
10,m,1793146
11,m,1709291
12,m,1727220
13,m,1728588
14,m,1767168
15,m,1802172
16,m,1719415
17,m,1701889
18,m,1699061
19,m,1636331
20,m,1698081
21,m,1713268
22,m,1760477
23,m,1709675
24,m,1748728
25,m,1725173
26,m,1631055
27,m,1710763
28,m,1737767
29,m,1656237
30,m,1763562
31,m,1523891
32,m,1548975
33,m,1458789
34,m,1422441
35,m,1468144
36,m,1344132
37,m,1326646
38,m,1325659
39,m,1302083
40,m,1422254
41,m,1235034
42,m,1281124
43,m,1177147
44,m,1205009
45,m,1263401
46,m,1173710
47,m,1129200
48,m,1079370
49,m,1046333
50,m,1112034
51,m,948591
52,m,985045
53,m,905975
54,m,883350
55,m,877013
56,m,826882
57,m,751293
58,m,742051
59,m,705105
60,m,737957
61,m,602476
62,m,613839
63,m,562959
64,m,523804
65,m,529674
66,m,468666
67,m,440243
68,m,408863
69,m,376619
70,m,419302
71,m,335925
72,m,323844
73,m,294410
74,m,293891
75,m,265369
76,m,225782
77,m,211817
78,m,206262
79,m,181287
80,m,183850
81,m,139772
82,m,129748
83,m,114919
84,m,100334
85,m,87856
86,m,72953
87,m,60074
88,m,49839
89,m,40037
90,m,37970
91,m,26745
92,m,21371
93,m,16052
94,m,12826
95,m,10317
96,m,7905
97,m,5743
98,m,4314
99,m,3250
100,m,7247
0,f,1334712
1,f,1325484
2,f,1339814
3,f,1371487
4,f,1407674
5,f,1438735
6,f,1421784
7,f,1452364
8,f,1467609
9,f,1564739
10,f,1712070
11,f,1643553
12,f,1675022
13,f,1684160
14,f,1726543
15,f,1772757
16,f,1691289
17,f,1670352
18,f,1668111
19,f,1629495
20,f,1691648
21,f,1708468
22,f,1750020
23,f,1710579
24,f,1754248
25,f,1729872
26,f,1667163
27,f,1756309
28,f,1777879
29,f,1712196
30,f,1785240
31,f,1604353
32,f,1616671
33,f,1523907
34,f,1496683
35,f,1522780
36,f,1419081
37,f,1413539
38,f,1386788
39,f,1379727
40,f,1458121
41,f,1316498
42,f,1342824
43,f,1273411
44,f,1297942
45,f,1326973
46,f,1277761
47,f,1231074
48,f,1164125
49,f,1141405
50,f,1185532
51,f,1043550
52,f,1072188
53,f,1003881
54,f,1000256
55,f,981986
56,f,923370
57,f,846389
58,f,831864
59,f,790268
60,f,828340
61,f,685880
62,f,696871
63,f,647505
64,f,609489
65,f,612257
66,f,554433
67,f,517554
68,f,481535
69,f,450966
70,f,508323
71,f,407322
72,f,399311
73,f,375966
74,f,383342
75,f,347796
76,f,300854
77,f,288022
78,f,279883
79,f,256375
80,f,267401
81,f,203290
82,f,193899
83,f,176495
84,f,157264
85,f,138790
86,f,117267
87,f,100588
88,f,81920
89,f,70159
90,f,67510
91,f,46409
92,f,39539
93,f,32021
94,f,26115
95,f,21515
96,f,16184
97,f,12265
98,f,9395
99,f,7447
100,f,16989
