neighborhood,Inhabitants,OBJECTID,Area,REGIAO_ADM,AREA_PLANE,CODBAIRRO,CODRA,CODBNUM,RP,SHAPESTAre,SHAPESTLen,count
Gávea,16003,470,2579636.59130859,LAGOA,2,29,6,29,Zona Sul,2579636.59130859,14268.5056801332,0
Leblon,46044,472,2153095.9453125,LAGOA,2,26,6,26,Zona Sul,2153095.9453125,7188.66282520201,1
Jardim Guanabara,32213,339,3205882.07080078,ILHA DO GOVERNADOR,3,99,20,99,Ilha do Governador,3205882.07080078,9028.40749925664,0
Ipanema,42743,473,3084907.22021484,LAGOA,2,25,6,25,Zona Sul,3084907.22021484,23487.5271301759,1
Lagoa,21198,468,5109893.28710938,LAGOA,2,27,6,27,Zona Sul,5109893.28710938,10368.039672054,1
Flamengo,50043,448,1646253.58740234,BOTAFOGO,2,15,4,15,Zona Sul,1646253.58740234,6665.34040366758,3
Humaitá,13285,462,1054475.31884766,BOTAFOGO,2,21,4,21,Zona Sul,1054475.31884766,7100.84656859579,1
Barra da Tijuca,135924,471,48150630.065918,BARRA DA TIJUCA,4,128,24,128,Barra da Tijuca,48150630.065918,47771.7958578574,4
Joá,818,479,1689691.29736328,BARRA DA TIJUCA,4,126,24,126,Barra da Tijuca,1689691.29736328,8871.29461607477,0
Laranjeiras,45554,449,2493507.37158203,BOTAFOGO,2,17,4,17,Zona Sul,2493507.37158203,10537.1143694833,3
Jardim Botânico,18009,464,2689203.73388672,LAGOA,2,28,6,28,Zona Sul,2689203.73388672,12263.1154578913,1
Copacabana,146392,466,4100850.171875,COPACABANA,2,24,5,24,Zona Sul,4100850.171875,12803.4992366049,18
Leme,14799,467,977199.05126953,COPACABANA,2,23,5,23,Zona Sul,977199.051269531,7045.32226638234,5
Botafogo,82890,455,4798955.83154297,BOTAFOGO,2,20,4,20,Zona Sul,4798955.83154297,12136.3757364593,7
Urca,7061,456,2319001.83740234,BOTAFOGO,2,22,4,22,Zona Sul,2319001.83740234,14138.5054761907,0
Maracanã,25256,437,1667302.203125,VILA ISABEL,2,35,9,35,Tijuca,1667302.203125,8473.31547614646,2
Campo Grande,328370,510,104445147.6875,CAMPO GRANDE,5,144,18,144,Campo Grande,104445147.6875,75083.6521321256,16
Glória,9661,438,1140065.48193359,BOTAFOGO,2,16,4,16,Zona Sul,1140065.48193359,7225.23890703653,0
Méier,49828,419,2470933.15234375,MEIER,3,63,13,63,Méier,2470933.15234375,9836.6383694477,6
Tijuca,163805,442,10065558.4926758,TIJUCA,2,33,8,33,Tijuca,10065558.4926758,20628.8255717032,66
Alto da Boa Vista,9343,452,31495676.0087891,TIJUCA,2,34,8,34,Tijuca,31495676.0087891,43744.4112472159,4
Todos os Santos,24646,415,1012635.96728516,MEIER,3,64,13,64,Méier,1012635.96728516,6163.38019919693,0
Anil,24172,459,3500410.67089844,JACAREPAGUA,4,116,16,116,Jacarepaguá,3500410.67089844,10834.591817218,2
